SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
11	1116	29218	29218
12	1116	11725	11725
13	1116	229	229
14	1116	8773	8773
15	1116	2754	2754
16	1116	1923	1923
17	1116	1453	1453
18	1116	6186	6186
19	1116	10839	10839
20	1116	10629	10629
21	1116	1261	1261
22	1116	25	25
23	1116	15720	15720
24	1116	83725	83725
