	SubjectID1	SubjectID2	Group1	Group2	Distance
97	D2	A7	Medium	Medium	0.46232644248874816
98	D2	A8	Medium	Medium	0.3742503853941364
99	D2	A9	Medium	Medium	0.3440548930004609
100	D2	B3	Medium	Medium	0.4566483828199971
101	D2	C2	Medium	Medium	0.5249216045526973
102	D2	C3	Medium	Medium	0.31529735848389545
103	D2	C5	Medium	Medium	0.4921049613469052
104	D2	D1	Medium	Medium	0.35136650923821655
105	D3	A1	Medium	Medium	0.516283234747151
106	D3	A10	Medium	Medium	0.353716822519385
107	D3	A2	Medium	Medium	0.43187005640788323
108	D3	A4	Medium	Medium	0.5367050716199954
109	D3	A5	Medium	Medium	0.5140738513060996
110	D3	A6	Medium	Medium	0.4838073615127594
111	D3	A7	Medium	Medium	0.4394602181028725
112	D3	A8	Medium	Medium	0.48663554315156177
113	D3	A9	Medium	Medium	0.4906535584587136
114	D3	B3	Medium	Medium	0.5034417375680148
115	D3	C2	Medium	Medium	0.5526732084202721
116	D3	C3	Medium	Medium	0.36139398088467123
117	D3	C5	Medium	Medium	0.5420374530250793
118	D3	D1	Medium	Medium	0.4136283246241588
119	D3	D2	Medium	Medium	0.44708216107577503
120	D4	A1	Medium	Medium	0.4125992154888527
121	D4	A10	Medium	Medium	0.392453271751992
122	D4	A2	Medium	Medium	0.4935138720669061
123	D4	A4	Medium	Medium	0.5251987286733978
124	D4	A5	Medium	Medium	0.40550960782911055
125	D4	A6	Medium	Medium	0.40107427727975936
126	D4	A7	Medium	Medium	0.4692267971216357
127	D4	A8	Medium	Medium	0.4156825536343763
128	D4	A9	Medium	Medium	0.4567425137587615
129	D4	B3	Medium	Medium	0.41802069651135554
130	D4	C2	Medium	Medium	0.5279238755952805
131	D4	C3	Medium	Medium	0.44833757856310963
132	D4	C5	Medium	Medium	0.544540546991787
133	D4	D1	Medium	Medium	0.5041819336641971
134	D4	D2	Medium	Medium	0.37170668030228055
135	D4	D3	Medium	Medium	0.40355910674027906
136	D5	A1	Medium	Medium	0.4243062113384246
137	D5	A10	Medium	Medium	0.3467105268250212
138	D5	A2	Medium	Medium	0.5352192438268731
139	D5	A4	Medium	Medium	0.47467610809353195
140	D5	A5	Medium	Medium	0.3382799223445291
141	D5	A6	Medium	Medium	0.3481903152391902
142	D5	A7	Medium	Medium	0.34448189144984914
143	D5	A8	Medium	Medium	0.2866456540484047
144	D5	A9	Medium	Medium	0.2105422969969481
145	D5	B3	Medium	Medium	0.40385836326086877
146	D5	C2	Medium	Medium	0.36479992501654
147	D5	C3	Medium	Medium	0.25801586482232736
148	D5	C5	Medium	Medium	0.3994325158414916
149	D5	D1	Medium	Medium	0.35354919394445167
150	D5	D2	Medium	Medium	0.25334462800285396
151	D5	D3	Medium	Medium	0.393304850208204
152	D5	D4	Medium	Medium	0.3637636997167925
153	E2	A1	Medium	Medium	0.3630550562802535
154	E2	A10	Medium	Medium	0.4630220344018053
155	E2	A2	Medium	Medium	0.5120401179105474
156	E2	A4	Medium	Medium	0.5666848904349593
157	E2	A5	Medium	Medium	0.39613994402937636
158	E2	A6	Medium	Medium	0.37600883655430073
159	E2	A7	Medium	Medium	0.4649736278565282
160	E2	A8	Medium	Medium	0.4564693036622661
161	E2	A9	Medium	Medium	0.4790113946317659
162	E2	B3	Medium	Medium	0.3832103419968489
163	E2	C2	Medium	Medium	0.49371853147995365
164	E2	C3	Medium	Medium	0.4828757000389493
165	E2	C5	Medium	Medium	0.49922661331048757
166	E2	D1	Medium	Medium	0.45337391789827824
