index,k__Bacteria;__;__;__,k__Bacteria;p__Bacteroidetes;__;__,k__Bacteria;p__Firmicutes;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,k__Bacteria;p__Proteobacteria;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;__,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales,Size,Reef_Habitat,Location,ZipCode,Latitude_Longitude
E3,55.0,0.0,0.0,0.0,1538.0,4486.0,4.0,10.0,0.0,0.0,0.0,2.0,0.0,Three,Reef Rubble,Culebra,775.0,"18.302451, -65.309386"
C2,60.0,0.0,0.0,0.0,1568.0,1664.0,3.0,38.0,0.0,0.0,0.0,0.0,0.0,TwoPointFive,Spur & Groove Reef,Isabella,662.0,"18.515768, -67.100173"
D5,414.0,0.0,0.0,4.0,895.0,1845.0,0.0,28.0,0.0,0.0,0.0,6.0,0.0,TwoPointFive,Seagrass,Luquillo,773.0,"18.387573, -65.719616"
A10,323.0,14.0,0.0,13.0,1318.0,2271.0,0.0,43.0,0.0,0.0,0.0,31.0,0.0,TwoPointFive,Rocky Reef,Rincon,677.0,"18.343114, -67.260138"
G3,140.0,0.0,0.0,0.0,1036.0,5414.0,0.0,32.0,0.0,0.0,0.0,121.0,0.0,Two,Patch Reef,Ceiba,735.0,"18.218831, -65.604282"
H2,3094.0,20.0,14.0,348.0,723.0,2044.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,Three,Rocks,Guanica,647.0,"17.934784, -66.957102"
G2,558.0,0.0,0.0,0.0,912.0,3396.0,0.0,23.0,0.0,31.0,16.0,72.0,0.0,Three,Patch Reef,Ceiba,735.0,"18.218831, -65.604282"
G9,3187.0,14.0,0.0,2.0,1318.0,2948.0,2.0,35.0,0.0,0.0,0.0,2.0,0.0,Two,Patch Reef,Ceiba,735.0,"18.218831, -65.604282"
E6,2360.0,6.0,0.0,5.0,1361.0,3036.0,2.0,34.0,0.0,0.0,0.0,0.0,3.0,Three,Reef Rubble,Culebra,775.0,"18.302451, -65.309386"
B1,1686.0,3.0,0.0,0.0,1605.0,2317.0,2.0,64.0,0.0,0.0,0.0,0.0,0.0,Two,Rocks,Ponce,716.0,"17.9724027, -66.6179076"
E1,1555.0,4.0,0.0,0.0,933.0,2614.0,0.0,23.0,2.0,0.0,0.0,14.0,0.0,ThreePointFive,Reef Rubble,Culebra,775.0,"18.302451, -65.309386"
