	SubjectID1	SubjectID2	Group1	Group2	Distance
155	G5	C1	Ceiba	Isabella	0.35303968706348154
156	G5	C2	Ceiba	Isabella	0.34899418687713296
157	G5	C3	Ceiba	Isabella	0.2951302152431595
158	G5	C4	Ceiba	Isabella	0.5739675409264783
159	G5	C5	Ceiba	Isabella	0.49023862308741484
160	G6	C1	Ceiba	Isabella	0.3609166271420644
161	G6	C2	Ceiba	Isabella	0.4091589348194459
162	G6	C3	Ceiba	Isabella	0.2428053838823615
163	G6	C4	Ceiba	Isabella	0.5242289778441185
164	G6	C5	Ceiba	Isabella	0.44674787190733534
165	G7	C1	Ceiba	Isabella	0.24964116805302572
166	G7	C2	Ceiba	Isabella	0.3742698744428973
167	G7	C3	Ceiba	Isabella	0.3965771784199284
168	G7	C4	Ceiba	Isabella	0.5468796574993644
169	G7	C5	Ceiba	Isabella	0.40422980618250987
170	G8	C1	Ceiba	Isabella	0.2754562384120066
171	G8	C2	Ceiba	Isabella	0.4609682080015513
172	G8	C3	Ceiba	Isabella	0.3374394983785128
173	G8	C4	Ceiba	Isabella	0.5333348537420933
174	G8	C5	Ceiba	Isabella	0.5030887392275614
175	G9	C1	Ceiba	Isabella	0.3008440609309643
176	G9	C2	Ceiba	Isabella	0.31885625125544886
177	G9	C3	Ceiba	Isabella	0.33956365975768893
178	G9	C4	Ceiba	Isabella	0.5356813862209129
179	G9	C5	Ceiba	Isabella	0.42177343729796446
180	G1	D1	Ceiba	Luquillo	0.3898637092034379
181	G1	D2	Ceiba	Luquillo	0.37153578463128883
182	G1	D3	Ceiba	Luquillo	0.4914867108197375
183	G1	D4	Ceiba	Luquillo	0.44287028706194553
184	G1	D5	Ceiba	Luquillo	0.38963888936687174
185	G2	D1	Ceiba	Luquillo	0.3400085667413281
186	G2	D2	Ceiba	Luquillo	0.33526712842716383
187	G2	D3	Ceiba	Luquillo	0.4914683953675653
188	G2	D4	Ceiba	Luquillo	0.46914108515856473
189	G2	D5	Ceiba	Luquillo	0.31485440081067567
190	G3	D1	Ceiba	Luquillo	0.5655689241404629
191	G3	D2	Ceiba	Luquillo	0.5234050862354838
192	G3	D3	Ceiba	Luquillo	0.5923306924127452
193	G3	D4	Ceiba	Luquillo	0.5029142065257047
194	G3	D5	Ceiba	Luquillo	0.5138466173395024
195	G4	D1	Ceiba	Luquillo	0.3859017725557838
